Row ID,USEEIO Sector Name,USEEIO Sector Code,Activity Category,IPCC/UNFCCC Category,Activity Subcategory,Activity Type,Activity,Fuel Consumed,Gas Category,Gas,Emissions (kg),Emissions Intensity (kg/USD_2022),AR5-100 GWP,Emissions (kgCO2e),Emissions (MTCO2e),Contribution to USEEIO Sector's Scope 1 (%),Attribution Sources
93,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1121A0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Beef Cattle,,Nitrous oxide,Nitrous oxide,24150667.818768166,0.0002742866792214354,265.0,6399926971.973564,6399.926971973564,0.02913726965143991,Direct
94,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1121A0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Beef Cattle,,Methane,Methane,153569672.3671419,0.0017441387450980918,28.0,4299950826.279973,4299.950826279973,0.01957660255529693,Direct
95,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1121A0,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,3529311744.745478,0.04008349606180057,1.0,3529311744.745478,3529.3117447454783,0.01606807522038513,Detail_Use_2022
96,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1121A0,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,60370.12122531737,6.856423267194105e-07,265.0,15998082.124709103,15.998082124709104,7.283527371716005e-05,Detail_Use_2022
97,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1121A0,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,16136.701769340101,1.832695631902702e-07,265.0,4276225.968875127,4.276225968875127,1.946858920285179e-05,Detail_Use_2022
98,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1121A0,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,101814.90146324603,1.156343643462686e-06,28.0,2850817.240970889,2.850817240970889,1.2979059142533894e-05,Detail_Use_2022
99,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1121A0,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Methane,Methane,51941.82377544575,5.899195195339612e-07,28.0,1454371.065712481,1.454371065712481,6.6213883534125485e-06,Detail_Use_2022
100,Poultry and egg production,112300,Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Poultry,,Methane,Methane,107145283.1524872,0.002404139456379994,28.0,3000067928.269642,3000.067928269642,0.32719943285548025,Direct
101,Poultry and egg production,112300,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,2459252019.9150925,0.05518100881627869,1.0,2459252019.9150925,2459.2520199150927,0.26821588224138043,Detail_Use_2022
102,Poultry and egg production,112300,Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Poultry,,Nitrous oxide,Nitrous oxide,8679442.023084402,0.00019475042123284948,265.0,2300052136.117367,2300.052136117367,0.25085290482395967,Direct
103,Poultry and egg production,112300,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Pasture,All activities Grassland,,Nitrous oxide,Nitrous oxide,5256430.282733979,0.00011794444954190272,265.0,1392954024.9245043,1392.9540249245042,0.151921149069426,USDA_CoA_Cropland_NAICS
104,Poultry and egg production,112300,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,40248.11904823087,9.03092401288641e-07,265.0,10665751.547781179,10.665751547781179,0.00116324961329269,Detail_Use_2022
105,Poultry and egg production,112300,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,11244.179967978142,2.522983366162888e-07,265.0,2979707.6915142075,2.9797076915142076,0.00032497886382889027,Detail_Use_2022
106,Poultry and egg production,112300,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,70945.41944437985,1.5918823219956435e-06,28.0,1986471.7444426357,1.9864717444426356,0.0002166525704436144,Detail_Use_2022
107,Poultry and egg production,112300,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Methane,Methane,34629.062596939955,7.770112997720276e-07,28.0,969613.7527143187,0.9696137527143187,0.00010574996218835093,Detail_Use_2022
108,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Swine,,Methane,Methane,836470995.2059177,0.025295481892038157,28.0,23421187865.765697,23421.187865765696,0.47927911487258806,Direct
109,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Pasture,All activities Grassland,,Nitrous oxide,Nitrous oxide,58113930.21956147,0.0017574068652341079,265.0,15400191508.18379,15400.19150818379,0.3151415802312626,USDA_CoA_Cropland_NAICS
110,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Agriculture,Agricultural Processes,Enteric Fermentation,Swine,,Methane,Methane,108952104.41757753,0.003294789658206651,28.0,3050658923.692171,3050.658923692171,0.0624271116010514,Direct
111,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Swine,,Nitrous oxide,Nitrous oxide,6684341.084095558,0.00020213926104075113,265.0,1771350387.285323,1771.350387285323,0.03624800119503122,Direct
112,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Agriculture,Agricultural Processes,Enteric Fermentation,Sheep,,Methane,Methane,45689592.17511316,0.001381685985699563,28.0,1279308580.9031684,1279.3085809031684,0.02617911131656994,Direct
113,"Animal production, except cattle and poultry and eggs",112A00,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,1013231649.9081863,0.030640850668567386,1.0,1013231649.9081863,1013.2316499081863,0.020734250163234044,Detail_Use_2022
114,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Agriculture,Agricultural Processes,Enteric Fermentation,Horses,,Methane,Methane,35145840.13470243,0.0010628353736150487,28.0,984083523.771668,984.083523771668,0.02013777793582303,Direct
115,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Agriculture,Agricultural Processes,Enteric Fermentation,Goats,,Methane,Methane,24602088.094291694,0.0007439847615305339,28.0,688858466.6401675,688.8584666401674,0.014096444555076118,Direct
116,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Agriculture,Agricultural Processes,Enteric Fermentation,American Bison,,Methane,Methane,17572920.067351215,0.0005314176868075243,28.0,492041761.885834,492.041761885834,0.010068888967911515,Direct
117,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Sheep,,Nitrous oxide,Nitrous oxide,1114056.8473492598,3.368987684012519e-05,265.0,295225064.54755384,295.2250645475538,0.006041333532505203,Direct
118,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Horses,,Nitrous oxide,Nitrous oxide,371352.28244975326,1.1229958946708396e-05,265.0,98408354.84918462,98.40835484918462,0.0020137778441684014,Direct
119,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Agriculture,Agricultural Processes,Enteric Fermentation,Mules and Asses,,Methane,Methane,3514584.0134702427,0.00010628353736150486,28.0,98408352.3771668,98.40835237716679,0.0020137777935823028,Direct
120,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Horses,,Methane,Methane,3514584.0134702427,0.00010628353736150486,28.0,98408352.3771668,98.40835237716679,0.0020137777935823028,Direct
121,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Sheep,,Methane,Methane,3514584.0134702427,0.00010628353736150486,28.0,98408352.3771668,98.40835237716679,0.0020137777935823028,Direct
122,"Animal production, except cattle and poultry and eggs",112A00,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,261043.59237321108,7.894145166723451e-06,265.0,69176551.97890094,69.17655197890095,0.0014155932992129352,Detail_Use_2022
123,"Animal production, except cattle and poultry and eggs",112A00,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Methane,Methane,224599.18909475973,6.792040313740163e-06,28.0,6288777.294653272,6.288777294653272,0.0001286902966957484,Detail_Use_2022
124,"Animal production, except cattle and poultry and eggs",112A00,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,4632.692757211774,1.4009594645009597e-07,265.0,1227663.5806611201,1.22766358066112,2.512227465459245e-05,Detail_Use_2022
125,"Animal production, except cattle and poultry and eggs",112A00,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,29230.084519576467,8.839386875401133e-07,28.0,818442.3665481411,0.8184423665481411,1.6748182682347283e-05,Detail_Use_2022
126,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Transportation Lubricants,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,249144.2448775806,2.661851521319136e-07,1.0,249144.2448775806,0.2491442448775806,5.098359393421926e-06,Detail_Use_2022
127,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-125,0.13705099827136666,1.4642497900210225e-13,3170.0,434.4516645202323,0.00043445166452023233,8.890394903092683e-09,Detail_Use_2022
128,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-134a,0.22418855962218237,2.395225540071672e-13,1300.0,291.44512750883706,0.0002914451275088371,5.9639828495008494e-09,Detail_Use_2022
129,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-143a,0.03746138844955649,4.002366335380364e-14,4800.0,179.81466455787114,0.00017981466455787115,3.6796346011287304e-09,Detail_Use_2022
130,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Carbon dioxide,Carbon dioxide,101.97559373236008,1.0895049550403275e-10,1.0,101.97559373236008,0.00010197559373236008,2.086775981763568e-09,Detail_Use_2022
131,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-32,0.09358585346097022,9.998691582518258e-14,677.0,63.357622793076835,6.335762279307683e-05,1.2965177320097654e-09,Detail_Use_2022
132,"Animal production, except cattle and poultry and eggs",112A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-236fa,0.00044918378480876406,4.799069476931306e-16,8060.0,3.6204213055586383,3.6204213055586383e-06,7.408643527129986e-11,Detail_Use_2022
133,Forestry and logging,113000,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Cropland,Mineralization and Asymbiotic Fixation Cropland | Drained Organic Soils Cropland,,Nitrous oxide,Nitrous oxide,4161956.766396737,0.00015661173156713968,265.0,1102918543.0951355,1102.9185430951354,0.27735480833661913,USDA_CoA_Cropland
134,Forestry and logging,113000,Fuel Combustion,Energy,Mobile Combustion,Petroleum Fuels,Medium- and Heavy-Duty Trucks Distillate Fuel Oil | Buses Distillate Fuel Oil | Passenger Cars Distillate Fuel Oil | Passenger Cars Gasoline | Light-Duty Trucks Distillate Fuel Oil | Light-Duty Trucks Gasoline,Distillate Fuel Oil | Gasoline,Carbon dioxide,Carbon dioxide,813471523.7294382,0.002006832408775205,1.0,813471523.7294382,813.4715237294382,0.20456654751502742,Detail_Use_2022
135,Forestry and logging,113000,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Organic Amendment Cropland | Residue N Cropland | Synthetic Fertilizer Cropland,,Nitrous oxide,Nitrous oxide,3003047.205064015,0.00011300271702969013,265.0,795807509.341964,795.807509341964,0.2001245156391787,Detail_Use_2022
136,Forestry and logging,113000,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,526069495.73647237,0.01778549316885991,1.0,526069495.73647237,526.0694957364724,0.132292547872364,Detail_Use_2022
137,Forestry and logging,113000,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Non-Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,245908930.78335693,0.000606656775938278,1.0,245908930.78335693,245.90893078335694,0.0618395844304866,Detail_Use_2022
138,Forestry and logging,113000,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Volatilization & Atm. Deposition Cropland | Surface Leaching & Run-Off Cropland,,Nitrous oxide,Nitrous oxide,611629.7977286343,2.3015232275771753e-05,265.0,162081896.3980881,162.0818963980881,0.04075930502008962,Detail_Use_2022
139,Forestry and logging,113000,Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Swine,,Methane,Methane,4424799.51173271,0.0001338091058344233,28.0,123894386.32851587,123.89438632851588,0.0311561574417781,Direct
140,Forestry and logging,113000,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Pasture,All activities Grassland,,Nitrous oxide,Nitrous oxide,307413.5164687718,9.296404876883144e-06,265.0,81464581.86422452,81.46458186422453,0.020486185159030234,USDA_CoA_Cropland_NAICS
141,Forestry and logging,113000,Process & Fugitive Gases,Agriculture,Agricultural Processes,Urea Consumption,Urea Fertilization,,Carbon dioxide,Carbon dioxide,36461180.72776597,0.0013720105636036114,1.0,36461180.72776597,36.46118072776597,0.009169021461999358,Detail_Use_2022
142,Forestry and logging,113000,Process & Fugitive Gases,Agriculture,Agricultural Processes,Enteric Fermentation,Swine,,Methane,Methane,576339.432200479,1.7428917146500513e-05,28.0,16137504.101613412,16.137504101613413,0.00405815496090387,Direct
143,Forestry and logging,113000,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,38116.73261386359,1.4241050929199236e-06,265.0,10100934.142673852,10.100934142673852,0.0025401174644322424,Detail_Use_2022
144,Forestry and logging,113000,Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Swine,,Nitrous oxide,Nitrous oxide,35359.10908408707,1.0692847793663682e-06,265.0,9370163.907283073,9.370163907283073,0.002356348101006613,Direct
145,Forestry and logging,113000,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Transportation Lubricants,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,7531313.240884358,1.7203458541043248e-05,1.0,7531313.240884358,7.531313240884358,0.0018939258511209412,Detail_Use_2022
146,Forestry and logging,113000,Process & Fugitive Gases,Agriculture,Agricultural Processes,Enteric Fermentation,Sheep,,Methane,Methane,241690.72963245888,7.308900738855053e-06,28.0,6767340.429708849,6.767340429708849,0.0017018069190887193,Direct
147,Forestry and logging,113000,Fuel Combustion,Energy,Mobile Combustion,Petroleum Fuels,Passenger Cars Diesel On-Road | Light-Duty Trucks Diesel On-Road | Medium- and Heavy-Duty Buses Diesel On-Road | Medium- and Heavy-Duty Trucks Diesel On-Road,Diesel,Nitrous oxide,Nitrous oxide,20257.871393873418,4.997612290058102e-08,265.0,5368335.919376456,5.368335919376456,0.0013499943303399628,Detail_Use_2022
148,Forestry and logging,113000,Process & Fugitive Gases,Agriculture,Agricultural Processes,Enteric Fermentation,Horses,,Methane,Methane,185915.94587112224,5.62223133758081e-06,28.0,5205646.484391423,5.205646484391423,0.0013090822454528612,Direct
149,Forestry and logging,113000,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-125,1155.825306812962,2.851418417156889e-09,3170.0,3663966.2225970896,3.6639662225970895,0.0009213904832612876,Detail_Use_2022
